scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,7721,24000,0
1,1951.899477,-0.000004,-0.000004,0.000001,0.000004,-0.000004,-0.000004,0.000001,0.000004,nan,nan,nan,nan,nan,nan,-1,stationary,10456,24000,0
2,1951.999327,-0.000008,-0.000005,0.000002,-0.000037,-0.000008,-0.000005,0.000002,-0.000037,nan,nan,nan,nan,nan,nan,-1,stationary,11545,24000,0
3,1952.099978,-0.000008,-0.000006,0.000003,-0.000061,-0.000008,-0.000006,0.000003,-0.000061,nan,nan,nan,nan,nan,nan,-1,stationary,12171,24000,0
4,1952.199821,-0.000010,-0.000012,0.000002,-0.000070,-0.000010,-0.000012,0.000002,-0.000070,nan,nan,nan,nan,nan,nan,-1,stationary,12590,24000,0
5,1952.299657,-0.000010,-0.000016,0.000007,-0.000047,-0.000010,-0.000016,0.000007,-0.000047,nan,nan,nan,nan,nan,nan,-1,stationary,12901,24000,0
6,1952.399498,-0.000009,-0.000014,0.000006,0.000070,-0.000009,-0.000014,0.000006,0.000070,nan,nan,nan,nan,nan,nan,-1,stationary,13174,24000,0
7,1952.499356,-0.000011,-0.000012,0.000006,0.000110,-0.000011,-0.000012,0.000006,0.000110,nan,nan,nan,nan,nan,nan,-1,stationary,13371,24000,0
8,1952.599997,-0.000010,-0.000010,0.000007,0.000033,-0.000010,-0.000010,0.000007,0.000033,nan,nan,nan,nan,nan,nan,-1,stationary,13541,24000,0
9,1952.699828,-0.000008,-0.000006,0.000010,0.000043,-0.000008,-0.000006,0.000010,0.000043,nan,nan,nan,nan,nan,nan,-1,stationary,13685,24000,0
10,1952.799667,-0.000010,-0.000003,0.000013,0.000025,-0.000010,-0.000003,0.000013,0.000025,nan,nan,nan,nan,nan,nan,-1,stationary,13842,24000,0
11,1952.899509,-0.000015,-0.000008,0.000015,0.000045,-0.000015,-0.000008,0.000015,0.000045,nan,nan,nan,nan,nan,nan,-1,stationary,14004,24000,0
12,1952.999356,-0.000016,-0.000011,0.000016,0.000036,-0.000016,-0.000011,0.000016,0.000036,nan,nan,nan,nan,nan,nan,-1,stationary,14128,24000,0
13,1953.099604,-0.000014,-0.000012,0.000015,0.000038,-0.000014,-0.000012,0.000015,0.000038,nan,nan,nan,nan,nan,nan,-1,stationary,14243,24000,0
